Date,Predicted_Mean,Lower Bound,Upper Bound
2022-10-01,4.885038582053778,1.1054858789600357,8.664591285147521
2022-11-01,5.91206441977375,1.8709788189095553,9.953150020637946
2022-12-01,6.386963676540308,2.191735844507872,10.582191508572745
2023-01-01,7.370564945707152,3.082446194255077,11.658683697159226
2023-02-01,4.41068413896893,0.06620788357760166,8.75516039436026
2023-03-01,4.145948867529047,-0.232507588958363,8.524405324016456
2023-04-01,2.938353241780666,-1.4610629202057233,7.337769403767055
2023-05-01,3.525614915652413,-0.8867609834328349,7.937990814737661
2023-06-01,2.058822438514788,-2.361578536542341,6.479223413571917
2023-07-01,1.9748569730018026,-2.4505178953344418,6.400231841338047
2023-08-01,2.0338889666765043,-2.394570417364294,6.462348350717303
2023-09-01,1.5046360166434996,-2.925736864800311,5.93500889808731
2023-10-01,1.5292916403049333,-2.91652474903002,5.975108029639887
2023-11-01,3.2682425362736334,-1.1813098868968233,7.71779495944409
2023-12-01,4.304031240630412,-0.1478385843126384,8.755901065573461
2024-01-01,5.729528702062132,1.276221061190367,10.182836342933896
2024-02-01,3.117795369977169,-1.3361803440190707,7.571771083973409
2024-03-01,3.1273477394563294,-1.326281332323342,7.580976811236001
2024-04-01,2.1358493582330285,-2.3175645372242712,6.589263253690328
2024-05-01,2.8933630308272233,-1.5599172981999736,7.34664335985442
2024-06-01,1.5607034211988107,-2.8924940003338,6.013900842731422
2024-07-01,1.582414401667376,-2.8707315579087807,6.035560361243532
2024-08-01,1.7247034779845904,-2.7284105385457815,6.177817494514962
2024-09-01,1.2610445375320394,-3.1920496516432166,5.714138726707295
2024-10-01,1.3373783362661569,-3.124480419915034,5.799237092447347
2024-11-01,3.1170438309600246,-1.346185405859662,7.580273067779711
2024-12-01,4.184909491343596,-0.27917019946249244,8.648989182149684
2025-01-01,5.635678750611035,1.1710712621462722,10.100286239075798
2025-02-01,3.0438557792634167,-1.4208596666843962,7.508571225211229
2025-03-01,3.069094506605528,-1.3949207147722484,7.533109727983304
